idx,user_id,transaction_date,transaction month,Time,product_category,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,device_type,location
1,USER_05159,19/08/2023,August,03:32:00,Rent Payment,Airbnb,1525.39,36.69,19.19,186.00,Debit Card,Successful,iOS,Urban
2,USER_07204,19/08/2023,August,04:37:00,Gas Bill,Adani Gas,1495.40,28.19,89.99,182.00,UPI,Successful,iOS,Urban
3,USER_00903,19/08/2023,August,05:52:00,Bus Ticket,MakeMyTrip Bus,1267.71,11.36,95.70,994.00,UPI,Successful,iOS,Urban
4,USER_01769,19/08/2023,August,06:35:00,Internet Bill,Airtel Broadband,9202.63,6.41,82.24,409.00,Debit Card,Successful,Android,Urban
5,USER_03544,19/08/2023,August,06:36:00,Loan Repayment,Axis Bank,3100.58,41.15,40.47,837.00,Debit Card,Successful,Android,Urban
6,USER_07548,19/08/2023,August,06:46:00,Flight Booking,Yatra,8430.75,44.55,52.61,269.00,UPI,Successful,Android,Urban
7,USER_05280,19/08/2023,August,07:15:00,Hotel Booking,Treebo,6688.17,49.62,22.18,58.00,UPI,Successful,Android,Urban
8,USER_03459,19/08/2023,August,07:57:00,Gas Bill,Adani Gas,1802.28,0.11,14.56,950.00,UPI,Successful,iOS,Urban
9,USER_04329,19/08/2023,August,09:14:00,Internet Bill,Airtel Broadband,4262.28,2.66,67.63,675.00,UPI,Successful,iOS,Urban
10,USER_07264,19/08/2023,August,10:01:00,Insurance Premium,Max Life,2207.90,45.70,21.87,129.00,Wallet Balance,Successful,iOS,Urban
11,USER_00434,19/08/2023,August,10:15:00,Online Shopping,Flipkart,3186.45,36.06,16.12,812.00,UPI,Successful,iOS,Suburban
12,USER_00723,19/08/2023,August,11:25:00,Mobile Recharge,BSNL,403.20,10.51,27.03,334.00,Credit Card,Successful,Android,Rural
13,USER_01944,19/08/2023,August,12:17:00,Online Shopping,Myntra,9421.81,13.69,66.79,522.00,UPI,Successful,Android,Suburban
14,USER_06471,19/08/2023,August,13:37:00,Electricity Bill,BSES,5297.09,5.81,95.25,910.00,Wallet Balance,Successful,Android,Urban
15,USER_01395,19/08/2023,August,14:23:00,Rent Payment,NoBroker,3101.18,43.42,81.83,882.00,Bank Transfer,Successful,Android,Urban
16,USER_00384,19/08/2023,August,15:34:00,Gas Bill,Indraprastha Gas,1440.26,7.56,1.35,547.00,Debit Card,Successful,iOS,Suburban
17,USER_00257,19/08/2023,August,15:39:00,Streaming Service,Netflix,2402.15,47.58,21.69,578.00,Debit Card,Successful,Android,Rural
18,USER_04931,19/08/2023,August,16:08:00,Grocery Shopping,Flipkart Supermart,3595.19,14.82,10.09,230.00,Wallet Balance,Successful,Android,Urban
19,USER_05181,19/08/2023,August,16:17:00,Flight Booking,Yatra,9930.71,43.57,35.17,759.00,Credit Card,Successful,Android,Urban
20,USER_07275,19/08/2023,August,18:01:00,Taxi Fare,Meru,307.81,3.26,2.42,568.00,UPI,Successful,Web,Rural
21,USER_05710,19/08/2023,August,19:41:00,Taxi Fare,Ola,8996.00,35.05,14.66,779.00,Bank Transfer,Successful,Android,Urban
22,USER_03731,19/08/2023,August,20:14:00,Gaming Credits,Roblox,1558.03,33.53,96.45,254.00,Credit Card,Successful,Android,Urban
23,USER_01167,19/08/2023,August,20:29:00,Water Bill,Delhi Jal Board,2699.87,14.68,54.23,773.00,Bank Transfer,Successful,Android,Rural
24,USER_06153,20/08/2023,August,01:59:00,Bus Ticket,MakeMyTrip Bus,2991.37,15.24,63.70,468.00,Debit Card,Successful,Web,Suburban
25,USER_01839,20/08/2023,August,02:57:00,Rent Payment,Nestaway,5140.78,0.84,15.70,519.00,Debit Card,Successful,Android,Urban
26,USER_09865,20/08/2023,August,03:45:00,Online Shopping,Flipkart,7076.38,19.16,41.87,202.00,Wallet Balance,Successful,iOS,Urban
27,USER_05566,20/08/2023,August,06:14:00,Flight Booking,Yatra,2956.08,8.75,20.10,556.00,Wallet Balance,Successful,Android,Suburban
28,USER_04900,20/08/2023,August,06:47:00,Loan Repayment,Axis Bank,6916.55,37.41,50.01,616.00,UPI,Successful,Android,Suburban
29,USER_06975,20/08/2023,August,07:57:00,Taxi Fare,Ola,5642.55,33.50,23.13,38.00,Bank Transfer,Successful,Web,Rural
